date,open,high,low,close,adjusted_close,volume,symbol
2025-03-04,237.71,240.07,234.68,235.93,235.3539,53798100,AAPL.US
2025-03-05,235.42,236.55,229.23,235.74,235.1644,47227600,AAPL.US
2025-03-06,234.44,237.86,233.16,235.33,234.7554,45170400,AAPL.US
2025-03-07,235.11,241.37,234.76,239.07,238.4862,46273600,AAPL.US
2025-03-10,235.54,236.16,224.22,227.48,226.9245,72071200,AAPL.US
2025-03-11,223.81,225.84,217.45,220.84,220.3008,76137400,AAPL.US
2025-03-12,220.14,221.75,214.91,216.98,216.4502,62547500,AAPL.US
2025-03-13,215.95,216.84,208.42,209.68,209.168,61368300,AAPL.US
2025-03-14,211.25,213.95,209.58,213.49,212.9687,60107600,AAPL.US
2025-03-17,213.31,215.22,209.97,214.0,213.4775,48073400,AAPL.US
2025-03-18,214.16,215.15,211.49,212.69,212.1707,42432400,AAPL.US
2025-03-19,214.22,218.76,213.75,215.24,214.7144,54385400,AAPL.US
2025-03-20,213.99,217.49,212.22,214.1,213.5772,48862900,AAPL.US
2025-03-21,211.56,218.84,211.28,218.27,217.737,94127800,AAPL.US
2025-03-24,221.0,221.48,218.58,220.73,220.191,44299500,AAPL.US
2025-03-25,220.77,224.1,220.08,223.75,223.2037,34493600,AAPL.US
2025-03-26,223.51,225.02,220.47,221.53,220.9891,34466100,AAPL.US
2025-03-27,221.39,224.99,220.56,223.85,223.3034,37094800,AAPL.US
2025-03-28,221.67,223.81,217.68,217.9,217.3679,39818600,AAPL.US
2025-03-31,217.01,225.62,216.23,222.13,221.5876,65299300,AAPL.US
2025-04-01,219.81,223.68,218.9,223.19,222.645,36412700,AAPL.US
2025-04-02,221.32,225.19,221.02,223.89,223.3433,35905900,AAPL.US
2025-04-03,205.54,207.49,201.25,203.19,202.6939,103419000,AAPL.US
2025-04-04,193.89,199.88,187.34,188.38,187.92,125910900,AAPL.US
2025-04-07,177.2,194.15,174.62,181.46,181.0169,160466300,AAPL.US
2025-04-08,186.7,190.34,169.21,172.42,171.999,120859500,AAPL.US
2025-04-09,171.95,200.61,171.89,198.85,198.3645,184395900,AAPL.US
2025-04-10,189.07,194.78,183.0,190.42,189.955,121880000,AAPL.US
2025-04-11,186.1,199.54,186.06,198.15,197.6662,87435900,AAPL.US
2025-04-14,211.44,212.94,201.16,202.52,202.0255,101352900,AAPL.US
2025-04-15,201.86,203.51,199.8,202.14,201.6464,51343900,AAPL.US
2025-04-16,198.36,200.7,192.37,194.27,193.7956,59732400,AAPL.US
2025-04-17,197.2,198.83,194.42,196.98,196.499,52164700,AAPL.US
2025-04-21,193.27,193.8,189.81,193.16,192.6883,46742500,AAPL.US
2025-04-22,196.12,201.59,195.97,199.74,199.2523,52976400,AAPL.US
2025-04-23,206.0,208.0,202.8,204.6,204.1004,52929200,AAPL.US
2025-04-24,204.89,208.83,202.94,208.37,207.8612,47311000,AAPL.US
2025-04-25,206.37,209.75,206.2,209.28,208.769,38222300,AAPL.US
2025-04-28,210.0,211.5,207.46,210.14,209.6269,38743100,AAPL.US
2025-04-29,208.69,212.24,208.37,211.21,210.6943,36827600,AAPL.US
2025-04-30,209.3,213.58,206.67,212.5,211.9811,52286500,AAPL.US
2025-05-01,209.08,214.56,208.9,213.32,212.7991,57365700,AAPL.US
2025-05-02,206.09,206.99,202.16,205.35,204.8486,101010600,AAPL.US
2025-05-05,203.1,204.1,198.21,198.89,198.4044,69018500,AAPL.US
2025-05-06,198.21,200.65,197.02,198.51,198.0253,51216500,AAPL.US
2025-05-07,199.17,199.44,193.25,196.25,195.7708,68536700,AAPL.US
2025-05-08,197.72,200.05,194.68,197.49,197.0078,50478900,AAPL.US
2025-05-09,199.0,200.54,197.54,198.53,198.0452,36453900,AAPL.US
2025-05-12,210.97,211.27,206.75,210.79,210.551,63775800,AAPL.US
2025-05-13,210.43,213.4,209.0,212.93,212.6886,51909300,AAPL.US
2025-05-14,212.43,213.94,210.58,212.33,212.0893,49325800,AAPL.US
2025-05-15,210.95,212.96,209.54,211.45,211.2103,45029500,AAPL.US
2025-05-16,212.36,212.57,209.77,211.26,211.0205,54737900,AAPL.US
2025-05-19,207.91,209.48,204.26,208.78,208.5433,46140500,AAPL.US
2025-05-20,207.67,208.47,205.03,206.86,206.6255,42496600,AAPL.US
2025-05-21,205.17,207.04,200.71,202.09,201.8609,59211800,AAPL.US
2025-05-22,200.71,202.75,199.7,201.36,201.1317,46742400,AAPL.US
2025-05-23,193.67,197.7,193.46,195.27,195.0486,78432900,AAPL.US
2025-05-27,198.3,200.74,197.43,200.21,199.983,56288500,AAPL.US
2025-05-28,200.59,202.73,199.9,200.42,200.1928,45339700,AAPL.US
2025-05-29,203.58,203.81,198.51,199.95,199.7233,51396800,AAPL.US
2025-05-30,199.37,201.96,196.78,200.85,200.6223,70819900,AAPL.US
2025-06-02,200.28,202.13,200.12,201.7,201.4713,35423300,AAPL.US
2025-06-03,201.35,203.77,200.96,203.27,203.0396,46381600,AAPL.US
2025-06-04,202.91,206.24,202.1,202.82,202.5901,43604000,AAPL.US
2025-06-05,203.5,204.75,200.15,200.63,200.4026,55126100,AAPL.US
2025-06-06,203.0,205.7,202.05,203.92,203.6888,46607700,AAPL.US
2025-06-09,204.39,206.0,200.02,201.45,201.2216,72862600,AAPL.US
2025-06-10,200.6,204.35,200.57,202.67,202.4402,54672600,AAPL.US
2025-06-11,203.5,204.5,198.41,198.78,198.5547,60989900,AAPL.US
